post_title,post_id,tag_name,tag_id
"Chichester duPont Foundation",144598,delaware-grants,33384
"Crystal Trust",144573,delaware-grants,33384
"Delaware Bar Foundation",144595,delaware-grants,33384
"Delaware Community Foundation",144574,delaware-grants,33384
"Good Samaritan, Inc.",144597,delaware-grants,33384
"Laffey-McHugh Foundation",144594,delaware-grants,33384
"Longwood Foundation",144575,delaware-grants,33384
"Marmot Foundation",144596,delaware-grants,33384
"Welfare Foundation",144599,delaware-grants,33384
