identifier,reason,tag_name,tag_id
184243,already-tagged,grants-lgbtq,33368
135024,already-tagged,grants-lgbtq,33368
136011,already-tagged,grants-lgbtq,33368
136192,already-tagged,grants-lgbtq,33368
135027,already-tagged,grants-lgbtq,33368
144440,already-tagged,grants-lgbtq,33368
135807,already-tagged,grants-lgbtq,33368
135805,already-tagged,grants-lgbtq,33368
136113,already-tagged,grants-lgbtq,33368
136172,already-tagged,grants-lgbtq,33368
135825,already-tagged,grants-lgbtq,33368
135894,already-tagged,grants-lgbtq,33368
