identifier,reason,tag_name,tag_id
148179,already-tagged,celebrity-foundations,33374
144349,already-tagged,celebrity-foundations,33374
148331,already-tagged,celebrity-foundations,33374
148180,already-tagged,celebrity-foundations,33374
148206,already-tagged,celebrity-foundations,33374
148175,already-tagged,celebrity-foundations,33374
148166,already-tagged,celebrity-foundations,33374
148170,already-tagged,celebrity-foundations,33374
148194,already-tagged,celebrity-foundations,33374
148214,already-tagged,celebrity-foundations,33374
148313,already-tagged,celebrity-foundations,33374
148322,already-tagged,celebrity-foundations,33374
148195,already-tagged,celebrity-foundations,33374
148172,already-tagged,celebrity-foundations,33374
148267,already-tagged,celebrity-foundations,33374
148299,already-tagged,celebrity-foundations,33374
148333,already-tagged,celebrity-foundations,33374
136197,already-tagged,celebrity-foundations,33374
148156,already-tagged,celebrity-foundations,33374
148122,already-tagged,celebrity-foundations,33374
148319,already-tagged,celebrity-foundations,33374
148290,already-tagged,celebrity-foundations,33374
148178,already-tagged,celebrity-foundations,33374
148174,already-tagged,celebrity-foundations,33374
136056,already-tagged,celebrity-foundations,33374
148327,already-tagged,celebrity-foundations,33374
136136,already-tagged,celebrity-foundations,33374
148326,already-tagged,celebrity-foundations,33374
148270,already-tagged,celebrity-foundations,33374
148308,already-tagged,celebrity-foundations,33374
148328,already-tagged,celebrity-foundations,33374
148306,already-tagged,celebrity-foundations,33374
148176,already-tagged,celebrity-foundations,33374
135130,already-tagged,celebrity-foundations,33374
148201,already-tagged,celebrity-foundations,33374
148293,already-tagged,celebrity-foundations,33374
148185,already-tagged,celebrity-foundations,33374
144881,already-tagged,celebrity-foundations,33374
148202,already-tagged,celebrity-foundations,33374
148245,already-tagged,celebrity-foundations,33374
148241,already-tagged,celebrity-foundations,33374
148272,already-tagged,celebrity-foundations,33374
148254,already-tagged,celebrity-foundations,33374
148307,already-tagged,celebrity-foundations,33374
148192,already-tagged,celebrity-foundations,33374
148143,already-tagged,celebrity-foundations,33374
148224,already-tagged,celebrity-foundations,33374
145024,already-tagged,celebrity-foundations,33374
148294,already-tagged,celebrity-foundations,33374
148519,already-tagged,celebrity-foundations,33374
148173,already-tagged,celebrity-foundations,33374
148139,already-tagged,celebrity-foundations,33374
148283,already-tagged,celebrity-foundations,33374
148320,already-tagged,celebrity-foundations,33374
