post_title,post_id,tag_name,tag_id
"Ben &#038; Jerry’s Foundation",135382,vermont-grants,33420
"Couch Family Foundation",136020,vermont-grants,33420
"Lintilhac Foundation",144968,vermont-grants,33420
"NSB Foundation and Northfield Savings Bank",144967,vermont-grants,33420
"Richard E. and Deborah L. Tarrant Foundation",144970,vermont-grants,33420
"Vermont Community Foundation",144992,vermont-grants,33420
"Vermont Women’s Fund",144971,vermont-grants,33420
"The Windham Foundation",144969,vermont-grants,33420
